1,2,15,06:00:00 6/11/2024,07:00:00 6/11/2024,DangDuocDat
2,4,5,14:30:00 6/11/2024,15:00:00 6/11/2024,DangDuocDat
3,2,1,08:00:00 6/11/2024,10:00:00 6/11/2024,DangDuocDat
4,1,3,19:00:00 6/11/2024,19:30:00 6/11/2024,DangDuocDat
5,6,3,16:00:00 7/11/2024,16:30:00 7/11/2024,DangDuocDat
6,7,3,07:00:00 12/11/2024,07:30:00 12/11/2024,DaThanhToan
7,5,3,07:00:00 12/11/2024,07:30:00 12/11/2024,DangDuocDat
8,8,3,07:00:00 12/11/2024,07:30:00 12/11/2024,DangDuocDat
9,6,3,07:00:00 12/11/2024,09:00:00 12/11/2024,DangDuocDat
10,2,3,07:00:00 12/11/2024,08:30:00 12/11/2024,DaThanhToan
11,3,1,11:30:00 12/11/2024,13:00:00 12/11/2024,DaThanhToan
12,5,7,08:00:00 12/11/2024,09:30:00 12/11/2024,DangDuocDat
13,5,4,12:00:00 12/11/2024,13:30:00 12/11/2024,DangDuocDat
14,13,4,06:00:00 12/11/2024,07:00:00 12/11/2024,DangDuocDat
15,13,3,12:30:00 12/11/2024,13:30:00 12/11/2024,DangDuocDat
